Laptop,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg)
57,4,13.3,10,1,40,2.3,8,4,2,56,8,1.4
58,4,13.3,1,1,40,1.8,8,2,2,50,8,1.3
304,3,15.6,3,1,46,2.5,8,16,2,52,4,1.9
57,4,15.4,12,1,54,2.7,16,29,0,76,8,1.8
57,4,13.3,10,1,40,3.1,8,16,2,57,8,1.4
2,3,15.6,0,0,11,3.0,4,26,0,84,5,2.1
57,4,15.4,12,1,54,2.2,16,15,2,58,3,2.0
58,4,13.3,1,1,40,1.8,8,15,2,50,8,1.3
176,4,14.0,3,1,70,1.8,16,29,3,37,5,1.3
47,4,14.0,3,1,53,1.6,8,16,2,105,5,1.6
304,3,15.6,0,1,46,2.5,4,26,2,52,4,1.9
304,3,15.6,3,1,36,2.0,4,26,2,46,4,1.9
57,4,15.4,12,1,54,2.8,16,16,0,77,8,1.8
195,3,15.6,3,1,36,2.0,4,16,0,91,5,2.2
55,4,12.0,7,1,33,1.2,8,16,2,51,8,0.9
57,4,13.3,10,1,40,2.3,8,16,2,56,8,1.4
195,3,15.6,3,1,62,2.7,8,16,0,91,5,2.2
57,4,15.4,12,1,54,2.9,16,29,0,78,8,1.8
402,3,15.6,3,1,38,2.4,8,10,3,11,4,2.2
249,4,13.3,3,1,53,1.6,8,4,2,105,5,1.2
140,2,11.6,0,1,16,1.44,2,23,2,40,5,1.0
429,1,15.6,3,1,47,2.5,8,5,3,14,5,2.5
305,3,15.6,0,0,79,1.5,4,26,0,79,4,1.9
200,0,13.3,3,1,53,1.6,8,16,2,105,5,1.6
262,4,15.6,3,1,70,1.8,8,16,2,52,5,1.9
195,3,15.6,0,1,36,2.0,4,10,2,46,5,2.3
56,4,13.3,1,1,40,1.6,8,2,2,50,3,1.4
203,3,15.6,3,1,53,1.6,8,16,0,74,5,2.2
228,4,15.6,3,1,71,1.9,8,19,2,105,5,1.9
352,3,17.3,3,1,53,1.6,8,10,3,9,5,2.5
187,3,15.6,3,1,15,1.44,4,35,2,39,5,1.9
63,3,14.0,0,0,77,1.5,2,23,0,79,5,1.6
298,3,17.3,3,0,7,2.5,4,26,0,74,5,2.7
249,4,13.3,13,1,70,1.8,16,29,2,105,5,1.2
56,4,13.3,1,1,40,1.6,8,15,2,50,3,1.4
393,3,14.0,0,1,22,1.1,4,35,2,42,5,1.4
2,3,15.6,0,1,39,2.7,4,10,2,52,2,2.1
208,3,17.3,3,1,53,1.6,8,5,0,74,5,2.8
304,3,15.6,0,1,46,2.5,4,10,2,52,5,1.9
351,3,15.6,3,1,53,1.6,8,16,3,9,5,2.1
145,3,15.6,3,1,36,2.0,4,10,2,52,2,2.0
214,1,15.6,3,1,66,2.8,16,18,3,18,5,2.6
156,3,15.6,0,1,46,2.5,8,10,3,11,2,2.3
7,3,15.6,3,1,53,1.6,4,16,2,105,5,2.2
216,0,17.3,3,1,53,1.6,12,10,3,4,5,2.8
57,4,13.3,10,1,40,2.0,8,16,2,54,8,1.4
404,3,15.6,0,1,36,2.0,4,4,2,46,4,2.2
124,1,17.3,3,0,89,3.0,8,18,0,104,5,3.2
195,3,15.6,3,1,46,2.5,4,16,0,91,5,2.3
165,3,17.3,0,1,87,1.1,4,10,3,7,5,2.8
518,0,10.1,4,1,17,1.44,4,35,2,40,0,0.7
7,3,15.6,3,1,70,1.8,8,16,3,37,5,2.2
305,3,15.6,3,0,7,2.5,4,16,0,83,5,1.9
349,3,13.3,3,1,70,1.8,8,29,2,105,5,1.5
2,3,15.6,0,1,38,2.4,4,10,2,52,5,2.4
196,3,15.6,3,1,70,1.8,8,16,0,73,5,2.1
270,3,15.6,3,1,36,2.0,4,4,2,46,5,1.9
135,3,15.6,0,1,46,2.5,4,16,2,52,5,2.0
551,1,17.3,3,1,66,2.8,16,20,3,19,5,2.4
153,3,15.6,3,1,36,2.0,4,16,2,46,2,2.0
208,3,17.3,3,1,70,1.8,16,20,0,74,5,2.8
247,4,14.0,3,1,53,1.6,8,16,2,105,5,1.7
413,3,14.0,3,1,39,2.7,8,16,2,52,4,1.7
127,3,14.0,3,1,53,1.6,8,16,2,105,5,1.4
304,3,15.6,3,1,46,2.5,8,16,2,52,5,1.9
169,4,15.6,3,1,66,2.8,16,29,3,15,5,1.8
304,3,15.6,0,1,36,2.0,4,26,0,73,5,1.9
370,3,14.0,0,1,21,1.6,4,25,2,40,5,1.4
495,3,15.6,3,1,46,2.5,4,10,2,52,5,1.9
77,1,17.3,3,1,66,2.8,12,10,3,15,2,3.0
572,4,13.5,6,1,46,2.5,4,4,2,52,6,1.3
198,4,13.3,3,1,70,1.8,8,16,0,74,5,1.4
203,3,15.6,3,1,70,1.8,8,16,0,74,5,2.2
533,1,17.3,3,1,47,2.5,8,5,3,14,5,2.7
13,3,14.0,0,1,36,2.0,8,10,2,46,5,2.1
68,1,15.6,3,1,66,2.8,8,10,3,14,5,2.2
403,3,15.6,3,1,46,2.5,8,22,2,52,4,2.2
203,3,15.6,3,1,70,1.8,8,5,2,105,5,2.0
8,3,15.6,3,1,39,2.7,4,10,3,36,5,2.2
352,3,17.3,3,1,53,1.6,8,5,3,9,5,2.5
228,4,15.6,3,1,53,1.6,8,16,2,105,5,1.9
55,4,12.0,7,1,40,1.3,8,29,2,51,8,0.9
350,3,14.0,3,1,53,1.6,8,16,2,52,5,1.6
400,3,15.6,3,0,7,2.5,4,4,0,72,5,2.2
2,3,15.6,0,0,11,3.0,4,10,0,84,5,2.1
214,1,15.6,3,1,66,2.8,16,5,3,15,5,2.6
344,4,15.6,3,1,70,1.8,8,16,3,24,5,1.8
304,3,15.6,3,1,46,2.5,8,16,2,52,5,2.0
69,1,15.6,3,1,66,2.8,16,5,3,18,5,2.2
249,4,13.3,3,1,70,1.8,8,16,2,105,5,1.2
70,1,15.6,3,0,81,3.0,8,10,0,103,5,2.4
3,3,15.6,3,1,70,1.8,8,10,3,37,5,2.2
356,3,13.3,3,1,70,1.8,16,29,2,105,5,1.5
214,1,15.6,3,1,47,2.5,8,16,3,18,5,2.6
184,4,14.0,3,1,62,2.7,8,16,2,52,5,1.2
45,0,13.3,3,1,53,1.6,8,16,2,105,5,1.5
195,3,15.6,3,1,62,2.7,8,10,0,91,2,2.2
195,3,15.6,3,1,36,2.0,4,16,0,91,2,2.2
154,3,15.6,3,1,38,2.4,6,16,3,6,5,2.0
333,1,15.6,3,1,66,2.8,12,5,3,14,5,2.6
275,3,15.6,3,1,62,2.7,8,16,0,74,5,1.9
283,3,15.6,3,0,79,1.5,4,26,0,79,5,2.1
196,3,15.6,3,1,53,1.6,8,10,0,73,2,2.2
326,4,13.3,3,1,62,2.7,8,16,3,37,5,1.4
572,4,13.5,6,1,46,2.5,8,16,2,52,6,1.3
341,3,14.0,3,1,46,2.5,6,16,3,11,5,1.6
421,3,15.6,3,1,36,2.0,4,10,2,46,5,1.8
128,4,14.0,3,1,62,2.7,8,16,3,11,5,1.3
537,1,15.6,3,1,66,2.8,16,18,3,15,5,2.2
467,3,14.0,3,1,62,2.7,8,16,2,52,5,1.6
138,4,15.6,3,1,70,1.8,16,18,3,37,5,1.5
249,4,13.3,13,1,63,2.4,8,16,2,56,5,1.2
455,0,13.3,3,1,46,2.5,8,16,2,52,5,1.4
357,3,14.0,0,1,53,1.6,4,26,2,105,5,1.6
249,4,13.3,3,1,53,1.6,8,16,2,105,5,1.2
366,0,13.3,3,1,53,1.6,8,16,2,105,5,1.3
357,3,14.0,3,1,70,1.8,8,29,2,105,5,1.6
213,3,15.6,3,1,70,1.8,8,18,3,11,5,2.2
163,3,17.3,3,1,36,2.0,4,10,3,7,5,2.0
138,3,15.6,3,1,70,1.8,8,16,3,11,5,1.7
44,3,15.6,3,1,38,2.4,6,10,2,52,5,2.1
548,1,15.6,3,1,66,2.8,16,20,3,19,5,1.8
403,3,15.6,3,1,46,2.5,8,16,3,11,4,2.2
359,3,17.3,3,1,70,1.8,16,29,3,9,5,2.5
2,3,15.6,0,0,11,3.0,4,16,0,84,5,2.1
304,3,15.6,0,1,21,1.6,4,26,2,40,4,1.9
357,3,14.0,3,1,53,1.6,8,10,2,105,5,1.6
62,3,14.0,0,0,73,1.5,4,37,0,79,6,1.6
208,3,17.3,3,1,70,1.8,16,20,0,74,5,2.8
352,3,17.3,3,1,53,1.6,8,16,2,105,5,2.5
201,3,15.6,0,1,46,2.5,8,10,0,97,5,2.4
195,3,15.6,3,1,36,2.0,4,10,0,91,5,2.2
47,4,14.0,3,1,70,1.8,8,16,2,105,5,1.6
9,3,15.6,3,1,39,2.7,4,16,3,36,5,2.2
261,3,15.6,0,1,62,2.7,8,10,2,52,5,2.0
357,3,14.0,3,1,70,1.8,8,16,2,105,5,1.6
477,3,15.6,0,1,22,1.1,4,10,2,42,4,1.9
75,1,17.3,3,1,47,2.5,8,5,3,14,5,3.0
403,3,15.6,3,1,46,2.5,4,10,3,7,4,2.2
325,3,13.3,3,1,46,2.5,4,16,2,52,5,1.3
3,3,17.3,3,1,39,2.7,4,10,3,36,5,3.0
436,3,14.0,3,1,53,1.6,8,16,0,102,5,1.8
429,1,15.6,3,1,66,2.8,8,16,3,16,4,2.4
596,3,15.6,0,1,41,2.3,4,26,2,46,5,2.1
305,3,15.6,0,0,7,2.5,4,16,0,83,5,1.9
175,4,14.0,3,1,70,1.8,8,16,2,105,5,1.2
315,4,12.5,14,1,29,1.2,8,29,2,45,5,1.0
146,3,15.6,3,1,22,1.1,4,10,2,42,5,2.0
523,1,17.3,3,1,66,2.8,16,18,3,19,5,2.9
6,3,15.6,0,1,36,2.0,4,10,2,46,5,2.1
204,1,15.6,3,1,66,2.8,16,29,3,14,5,2.6
212,1,15.6,3,1,66,2.8,8,1,3,14,5,2.6
478,3,15.6,0,1,46,2.5,4,4,2,52,5,1.9
526,1,17.3,3,1,66,2.8,16,18,3,18,5,2.8
313,4,14.0,3,1,50,2.7,4,16,2,52,5,1.5
263,3,15.6,3,1,53,1.6,6,16,0,73,5,1.9
509,0,14.0,3,1,38,2.4,4,16,2,52,5,1.7
168,0,13.3,3,1,53,1.6,8,16,2,52,5,1.1
206,0,15.6,3,1,70,1.8,8,16,2,105,5,1.6
596,3,15.6,0,1,36,2.2,4,26,2,46,5,2.1
160,3,15.6,0,0,11,3.0,4,10,0,89,5,2.0
11,3,17.3,3,1,53,1.6,4,16,3,37,5,3.0
196,3,15.6,3,1,53,1.6,8,16,0,73,5,2.1
429,1,15.6,3,1,66,2.8,16,16,3,15,5,2.5
5,3,15.6,0,1,22,1.1,4,10,2,42,5,2.1
520,1,15.6,3,1,66,2.8,16,18,3,18,5,2.4
2,3,15.6,0,1,87,1.1,4,10,2,43,5,2.1
204,1,15.6,3,1,66,2.8,8,5,3,14,5,2.6
11,3,17.3,3,1,53,1.6,8,16,3,37,5,3.0
349,3,13.3,3,1,53,1.6,4,26,2,105,5,1.5
377,4,13.0,5,1,46,2.5,8,16,2,52,5,1.0
301,3,17.3,3,1,46,2.5,6,22,0,73,5,2.7
400,3,15.6,0,0,7,2.9,4,26,0,83,4,2.2
596,3,15.6,0,1,38,2.4,4,26,2,52,5,2.0
352,3,17.3,3,1,53,1.6,8,16,3,9,5,2.5
195,3,15.6,0,1,38,2.4,8,10,2,52,5,2.3
6,3,15.6,0,1,36,2.0,4,4,2,46,5,2.1
560,1,18.4,3,1,61,2.9,32,31,3,3,5,4.4
489,3,15.6,3,1,46,2.5,8,5,0,71,5,1.9
366,0,13.3,14,1,53,1.6,8,16,2,105,5,1.3
203,3,15.6,3,1,70,1.8,16,20,0,74,2,2.0
249,4,13.3,3,1,53,1.6,8,16,2,105,5,1.2
517,0,13.9,14,1,70,1.8,16,29,2,105,5,1.4
596,3,15.6,0,1,46,2.5,8,4,2,52,5,2.0
619,3,15.6,3,1,53,1.6,8,16,3,37,4,2.0
216,3,17.3,3,1,70,1.8,16,29,3,4,5,2.8
250,3,15.6,14,1,66,2.8,16,29,3,14,5,2.1
429,1,15.6,3,1,47,2.5,8,16,3,14,4,2.4
48,4,13.3,3,1,51,1.2,8,16,2,51,5,1.1
208,3,17.3,3,1,70,1.8,8,5,0,74,5,2.8
475,0,14.0,9,1,62,2.7,16,12,2,52,5,1.4
616,3,14.0,3,1,22,1.1,4,23,2,42,5,1.3
619,4,13.3,3,1,46,2.5,8,16,3,37,4,1.3
406,3,17.3,2,1,53,1.6,8,16,3,37,4,2.8
200,0,13.3,3,1,70,1.8,8,10,2,105,5,1.6
352,3,17.3,3,1,53,1.6,8,10,3,9,5,2.5
573,1,17.3,14,1,67,2.9,32,12,3,21,5,3.5
349,3,13.3,3,1,53,1.6,8,29,2,105,5,1.5
336,1,17.3,3,1,66,2.8,16,18,3,14,5,3.4
359,3,17.3,3,1,70,1.8,8,16,3,9,5,2.5
214,1,15.6,14,1,66,2.8,16,31,3,18,5,2.6
484,3,15.6,0,1,41,2.3,4,4,2,46,5,2.1
15,3,15.6,3,1,62,2.7,8,10,3,11,5,2.2
430,1,15.6,3,1,66,2.8,16,31,3,18,5,3.2
240,5,15.6,14,1,90,3.0,16,18,3,62,5,2.8
429,1,15.6,3,1,66,2.8,16,29,3,18,4,2.4
195,3,15.6,0,1,38,2.4,6,10,2,52,5,2.3
249,4,13.3,14,1,70,1.8,8,16,2,105,5,1.2
249,4,13.3,3,1,70,1.8,8,16,2,105,5,1.2
403,3,15.6,0,1,46,2.5,8,16,2,52,5,2.2
4,3,15.6,3,1,66,2.8,8,10,3,14,2,2.4
100,1,17.3,3,1,66,2.8,16,18,3,14,5,2.9
276,3,15.6,3,1,36,2.0,4,26,2,46,4,2.1
403,3,15.6,3,1,46,2.5,8,16,2,52,4,2.2
377,4,13.0,5,1,62,2.7,8,29,2,52,5,1.0
198,4,13.3,3,1,70,1.8,8,16,0,74,5,1.4
405,3,17.3,2,1,46,2.5,8,10,3,24,4,2.8
357,3,14.0,3,1,70,1.8,8,16,3,9,5,1.6
226,4,14.0,3,1,53,1.6,8,16,2,105,5,1.6
